nome_munic,codigo_ibge,dia,mes,datahora,casos,casos_novos,casos_pc,casos_mm7d,obitos,obitos_novos,obitos_pc,obitos_mm7d,letalidade,nome_ra,cod_ra,nome_drs,cod_drs,pop,pop_60,area,map_leg,map_leg_s,latitude,longitude,semana_epidem
São Paulo,3550308,25,2,2020-02-25,1,0,0.008424841,0,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,9
São Paulo,3550308,26,2,2020-02-26,1,0,0.008424841,0,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,9
São Paulo,3550308,27,2,2020-02-27,1,0,0.008424841,0,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,9
São Paulo,3550308,28,2,2020-02-28,2,1,0.01684968,0,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,9
São Paulo,3550308,29,2,2020-02-29,2,0,0.01684968,0,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,9
São Paulo,3550308,1,3,2020-03-01,2,0,0.01684968,0,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,10
São Paulo,3550308,2,3,2020-03-02,2,0,0.01684968,0.1428571,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,10
São Paulo,3550308,3,3,2020-03-03,2,0,0.01684968,0.1428571,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,10
São Paulo,3550308,4,3,2020-03-04,3,1,0.02527452,0.2857143,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,10
São Paulo,3550308,5,3,2020-03-05,6,3,0.05054905,0.7142857,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,10
São Paulo,3550308,6,3,2020-03-06,6,0,0.05054905,0.5714286,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,10
São Paulo,3550308,7,3,2020-03-07,12,6,0.1010981,1.4285714,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,10
São Paulo,3550308,8,3,2020-03-08,15,3,0.1263726,1.8571429,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,11
São Paulo,3550308,9,3,2020-03-09,15,0,0.1263726,1.8571429,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,11
São Paulo,3550308,10,3,2020-03-10,18,3,0.1516471,2.2857143,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,11
São Paulo,3550308,11,3,2020-03-11,29,11,0.2443204,3.7142857,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,11
São Paulo,3550308,12,3,2020-03-12,44,15,0.370693,5.4285714,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,11
São Paulo,3550308,13,3,2020-03-13,44,0,0.370693,5.4285714,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<50,7,-23.5329,-46.6395,11
São Paulo,3550308,14,3,2020-03-14,62,18,0.5223402,7.1428571,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<150,6,-23.5329,-46.6395,11
São Paulo,3550308,15,3,2020-03-15,62,0,0.5223402,6.7142857,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<150,6,-23.5329,-46.6395,12
São Paulo,3550308,16,3,2020-03-16,145,83,1.221602,18.5714286,0,0,0,0,0,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<150,6,-23.5329,-46.6395,12
São Paulo,3550308,17,3,2020-03-17,156,11,1.314275,19.7142857,1,1,0.008424841,0.1428571,0.0064102564,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<300,5,-23.5329,-46.6395,12
São Paulo,3550308,18,3,2020-03-18,214,58,1.802916,26.4285714,3,2,0.02527452,0.4285714,0.0140186916,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<300,5,-23.5329,-46.6395,12
São Paulo,3550308,19,3,2020-03-19,259,45,2.182034,30.7142857,5,2,0.04212421,0.7142857,0.0193050193,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<300,5,-23.5329,-46.6395,12
São Paulo,3550308,20,3,2020-03-20,306,47,2.578001,37.4285714,9,4,0.07582357,1.2857143,0.0294117647,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<600,4,-23.5329,-46.6395,12
São Paulo,3550308,21,3,2020-03-21,306,0,2.578001,34.8571429,9,0,0.07582357,1.2857143,0.0294117647,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<600,4,-23.5329,-46.6395,12
São Paulo,3550308,22,3,2020-03-22,306,0,2.578001,34.8571429,9,0,0.07582357,1.2857143,0.0294117647,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<600,4,-23.5329,-46.6395,13
São Paulo,3550308,23,3,2020-03-23,306,0,2.578001,23,9,0,0.07582357,1.2857143,0.0294117647,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<600,4,-23.5329,-46.6395,13
São Paulo,3550308,24,3,2020-03-24,306,0,2.578001,21.4285714,9,0,0.07582357,1.1428571,0.0294117647,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<600,4,-23.5329,-46.6395,13
São Paulo,3550308,25,3,2020-03-25,722,416,6.082735,72.5714286,44,35,0.370693,5.8571429,0.0609418283,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<1200,3,-23.5329,-46.6395,13
São Paulo,3550308,26,3,2020-03-26,899,177,7.573932,91.4285714,53,9,0.4465166,6.8571429,0.0589543938,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<1200,3,-23.5329,-46.6395,13
São Paulo,3550308,27,3,2020-03-27,1044,145,8.795534,105.4285714,62,9,0.5223402,7.5714286,0.0593869732,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<1200,3,-23.5329,-46.6395,13
São Paulo,3550308,28,3,2020-03-28,1044,0,8.795534,105.4285714,62,0,0.5223402,7.5714286,0.0593869732,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<1200,3,-23.5329,-46.6395,13
São Paulo,3550308,29,3,2020-03-29,1044,0,8.795534,105.4285714,62,0,0.5223402,7.5714286,0.0593869732,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<1200,3,-23.5329,-46.6395,14
São Paulo,3550308,30,3,2020-03-30,1233,189,10.38783,132.4285714,103,41,0.8677586,13.4285714,0.0835360908,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<5000,2,-23.5329,-46.6395,14
São Paulo,3550308,31,3,2020-03-31,1885,652,15.88083,225.5714286,121,18,1.019406,16,0.0641909814,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<5000,2,-23.5329,-46.6395,14
São Paulo,3550308,1,4,2020-04-01,2418,533,20.37127,242.2857143,144,23,1.213177,14.2857143,0.0595533499,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<5000,2,-23.5329,-46.6395,14
São Paulo,3550308,2,4,2020-04-02,2815,397,23.71593,273.7142857,164,20,1.381674,15.8571429,0.058259325,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<5000,2,-23.5329,-46.6395,14
São Paulo,3550308,3,4,2020-04-03,3202,387,26.97634,308.2857143,186,22,1.56702,17.7142857,0.0580886946,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<5000,2,-23.5329,-46.6395,14
São Paulo,3550308,4,4,2020-04-04,3496,294,29.45324,350.2857143,212,26,1.786066,21.4285714,0.0606407323,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<5000,2,-23.5329,-46.6395,14
São Paulo,3550308,5,4,2020-04-05,3612,116,30.43053,366.8571429,220,8,1.853465,22.5714286,0.0609080842,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<5000,2,-23.5329,-46.6395,15
São Paulo,3550308,6,4,2020-04-06,3754,142,31.62685,360.1428571,244,24,2.055661,20.1428571,0.0649973362,RM de São Paulo,10,Grande São Paulo,10,11869660,1853286,152111,<5000,2,-23.5329,-46.6395,15
